source,n_units,auc_min,auc_max,auc_median,auc_sd,p_min,p_max,auc_range
expert,5,0.623,0.723,0.723,0.055,0.099,0.533,0.1
rms,5,0.575,0.723,0.596,0.067,0.099,0.6,0.148
