source,n_windows,auc_min,auc_max,auc_median,auc_sd,p_min,p_max,auc_range
expert,5,0.566,0.819,0.632,0.113,0.007,0.613,0.253
rms,5,0.65,0.74,0.702,0.04,0.047,0.299,0.09
